resample,train_n,test_n,accuracy,balanced_accuracy
130,90,90,0.5333333333333333,0.5333333333333333
131,90,90,0.6333333333333333,0.6333333333333333
132,90,90,0.6,0.6
133,90,90,0.6,0.6
134,90,90,0.5222222222222223,0.5222222222222223
135,90,90,0.5777777777777777,0.5777777777777778
136,90,90,0.5888888888888889,0.5888888888888889
137,90,90,0.5555555555555556,0.5555555555555556
138,90,90,0.6444444444444445,0.6444444444444444
139,90,90,0.6444444444444445,0.6444444444444444
140,90,90,0.6444444444444445,0.6444444444444445
141,90,90,0.5222222222222223,0.5222222222222221
142,90,90,0.6333333333333333,0.6333333333333333
143,90,90,0.6,0.6
144,90,90,0.5555555555555556,0.5555555555555555
145,90,90,0.6333333333333333,0.6333333333333333
146,90,90,0.5222222222222223,0.5222222222222223
147,90,90,0.5666666666666667,0.5666666666666667
148,90,90,0.5888888888888889,0.5888888888888889
149,90,90,0.6,0.6
150,90,90,0.5444444444444444,0.5444444444444445
151,90,90,0.6666666666666666,0.6666666666666666
152,90,90,0.6555555555555556,0.6555555555555556
153,90,90,0.5555555555555556,0.5555555555555555
154,90,90,0.5666666666666667,0.5666666666666667
155,90,90,0.5777777777777777,0.5777777777777778
156,90,90,0.5777777777777777,0.5777777777777778
157,90,90,0.5555555555555556,0.5555555555555556
